clk,date,gender,age_level,shopping_level,occupation,new_user_class_level,price
0,2017-05-12,1,4,2,0,2,42.6
0,2017-05-13,1,6,2,0,2,42.6
0,2017-05-13,1,6,2,0,2,42.6
0,2017-05-13,2,3,2,0,2,98
0,2017-05-11,2,3,2,0,2,98
0,2017-05-12,1,4,2,0,2,26
0,2017-05-06,2,2,2,0,2,128
0,2017-05-13,1,2,2,0,2,29
0,2017-05-10,2,3,2,0,2,155
0,2017-05-13,2,3,2,0,2,98
0,2017-05-13,2,3,2,0,2,98
0,2017-05-06,2,4,2,0,2,98
0,2017-05-12,1,4,2,0,2,30
0,2017-05-09,1,5,2,0,2,50
0,2017-05-12,1,5,2,0,2,329
0,2017-05-13,2,3,2,0,2,135
0,2017-05-13,2,3,2,0,2,135
0,2017-05-12,2,5,2,0,2,135
0,2017-05-06,1,5,2,0,2,180
0,2017-05-12,2,5,2,0,2,276
0,2017-05-09,2,5,2,0,2,276
0,2017-05-07,2,4,2,0,2,551
0,2017-05-08,1,5,2,0,2,551
0,2017-05-05,1,3,2,0,2,155
0,2017-05-09,2,1,2,0,2,155
0,2017-05-11,2,2,2,0,2,155
0,2017-05-09,2,5,2,0,2,158
0,2017-05-13,2,5,2,0,2,158
0,2017-05-13,2,5,2,0,2,158
0,2017-05-11,2,4,2,0,2,158
0,2017-05-12,1,4,2,0,2,158
0,2017-05-13,2,3,2,0,2,145
0,2017-05-10,2,5,2,0,2,108
0,2017-05-10,2,5,2,0,2,108
0,2017-05-12,1,4,2,0,2,108
0,2017-05-08,1,3,2,0,2,256
0,2017-05-08,1,4,2,0,2,399
0,2017-05-07,2,5,2,0,2,428
0,2017-05-05,1,2,2,1,2,428
0,2017-05-12,1,4,2,0,2,60
0,2017-05-12,2,4,2,0,2,20
0,2017-05-07,1,4,2,0,2,990
0,2017-05-11,1,5,2,0,2,990
0,2017-05-12,1,4,2,0,2,318
0,2017-05-13,1,5,2,0,2,420
0,2017-05-13,2,2,2,1,2,25
0,2017-05-12,1,2,2,0,2,300
0,2017-05-10,1,2,2,0,2,300
0,2017-05-13,1,3,2,0,2,300
0,2017-05-11,1,2,2,0,2,700
0,2017-05-11,1,2,2,0,2,700
0,2017-05-06,2,3,2,0,2,79.8
0,2017-05-12,1,3,2,0,2,59
0,2017-05-09,1,3,2,0,2,216
0,2017-05-12,1,2,2,0,2,98
1,2017-05-09,1,3,2,0,2,98
0,2017-05-10,1,2,2,1,2,98
0,2017-05-12,1,3,2,0,2,98
0,2017-05-08,1,2,2,0,2,98
0,2017-05-10,1,3,2,0,2,119
0,2017-05-09,1,3,2,0,2,1190
0,2017-05-11,2,3,2,0,2,22
0,2017-05-08,1,5,2,0,2,46
0,2017-05-06,1,1,2,0,2,178
0,2017-05-07,1,3,2,0,2,24
0,2017-05-06,2,4,2,0,2,350
0,2017-05-08,1,3,2,0,2,216
0,2017-05-13,1,4,2,0,2,45.29
0,2017-05-12,1,5,2,0,2,55
1,2017-05-10,1,5,2,0,2,55
0,2017-05-07,1,5,2,0,2,70
1,2017-05-13,1,4,2,0,2,230
0,2017-05-10,1,4,2,0,2,118
0,2017-05-08,1,5,2,0,2,120
0,2017-05-10,1,5,2,0,2,420
0,2017-05-12,1,4,2,0,2,460
0,2017-05-13,1,3,2,0,2,179
0,2017-05-06,1,3,2,0,2,179
0,2017-05-07,2,3,2,0,2,179
0,2017-05-12,2,4,2,0,2,298
0,2017-05-10,2,4,2,0,2,298
0,2017-05-08,2,3,2,0,2,140
0,2017-05-13,1,2,2,0,2,28
0,2017-05-09,2,4,2,0,2,120
0,2017-05-12,1,5,2,0,2,100
0,2017-05-13,1,4,2,0,2,100
0,2017-05-11,1,5,2,0,2,1280
0,2017-05-13,1,4,2,0,2,188
0,2017-05-07,1,3,2,0,2,40
1,2017-05-08,1,3,2,0,2,40
0,2017-05-11,1,4,2,0,2,600
0,2017-05-06,1,5,2,0,2,75
0,2017-05-10,1,5,2,0,2,65
0,2017-05-08,1,3,2,0,2,55
0,2017-05-08,1,5,2,0,2,103
0,2017-05-07,1,4,2,0,2,368
0,2017-05-06,1,5,2,0,2,89
0,2017-05-13,2,5,2,0,2,26.4
0,2017-05-12,2,3,2,0,2,26.4
0,2017-05-08,1,3,2,0,2,36
0,2017-05-13,1,3,2,0,2,380
0,2017-05-13,1,1,2,0,2,80
0,2017-05-11,2,5,2,0,2,115
0,2017-05-08,1,4,2,0,2,49
0,2017-05-06,1,5,2,0,2,80
0,2017-05-12,1,4,2,0,2,659
0,2017-05-08,1,4,2,0,2,659
0,2017-05-05,1,4,2,0,2,659
